"id","form_visit_id","survey_type","completed_date","general_feedback","created_at","submission_id","updated_at"
"00105b8b-5241-4220-928f-f56c7f79a694","2bb8edea-7da8-4941-bfd5-fbc517496494","routine_visit","2025-10-15 00:00:00","","2025-10-14 04:11:04.967822","SR-43ee6268-652b-4cd5-abea-e93fa6cf6491-routine_visit","2025-10-14 06:11:04.967853+02"
"00186d25-65a5-4ae0-820c-d6e45311bb38","d026f609-b339-43e6-a06a-978a88949823","routine_visit","2025-11-06 00:00:00","","2025-11-02 04:45:03.02527","SR-e521bf91-9438-46c6-9784-b43d1700a9b1-routine_visit","2025-11-02 06:45:03.025307+02"
"002aa0b0-ef6e-453d-bd91-f1d95d81fda5","e4fa6a5d-c72a-4119-b330-336774584666","wet_mill_training","2025-09-24 00:00:00","","2025-09-24 03:39:02.343767","SR-c2246839-2757-4d25-916e-870b28dd06e2-wet_mill_training","2025-09-24 05:39:02.343825+02"
"002dc1de-17e9-4d01-9b65-cf8a5106a9dd","ed7b8995-096b-47d5-9480-3ed72a16e7c4","routine_visit","2025-11-18 00:00:00","During coffee drying activity they have to continuously turning to avoid cracking of parchment.","2025-11-17 17:14:03.836182","SR-d8510ea8-c13d-443b-9691-c62ad03036c3-routine_visit","2025-11-17 19:14:03.836216+02"
"0067c698-428e-4edd-8579-b138195445c6","918aaa9e-4b98-4451-9451-e888b7bf7a8d","cpqi","2025-11-06 00:00:00","","2025-11-02 04:45:03.02527","SR-2d8d00a5-4684-49ae-a6b0-54348710235f-cpqi","2025-11-02 06:45:03.025307+02"
"006e9355-dece-4432-8069-a7cb16cf4d31","9cc3dcbc-0229-47d5-a6a2-50f2636302a8","wet_mill_training","2025-10-29 00:00:00","","2025-10-23 23:57:02.465814","SR-115644e4-5ad7-471b-8d91-f48325863877-wet_mill_training","2025-10-24 01:57:02.465849+02"
"00b1159a-9ec3-4bb9-ad89-b9a45d3b6879","d29ef825-3229-4b36-9662-c9549ca30fd9","cherry_weekly_price",NULL,"High price.","2025-12-17 06:31:04.513566","SR-0cb615bb-7810-441b-81a8-1bd6f1e1c257-cherry_weekly_price","2025-12-17 08:31:04.513604+02"
"00bd6fcc-382a-4cab-bfa5-a5ae102a9641","9e38285e-6de0-4325-a528-709b91429196","cpqi","2025-11-18 00:00:00","There is no dried parchment coffee.","2025-11-17 17:14:03.836182","SR-1a3da36d-1be2-47a8-8b2a-708b7c9630fa-cpqi","2025-11-17 19:14:03.836216+02"
"00bd7a7d-4908-4a99-b79b-06f89377eba7","a72f2ea4-2032-471c-8fe2-84034b509a39","waste_water_management","2025-12-25 00:00:00","The wet mill must construct vetiver wetland and pulp hopper","2025-12-24 18:48:19.545864","SR-221a6737-3f6c-4a06-942d-676fcf133f39-waste_water_management","2025-12-24 20:48:19.545895+02"
"00d1221c-c0c7-4759-9bd8-1a26a8532b3f","249a412e-1f4e-4592-a3f2-fb043b5635bf","routine_visit","2025-11-04 00:00:00","","2025-11-02 04:45:03.02527","SR-bf1eaba9-5592-4ca5-8b6e-e1fef7320cb6-routine_visit","2025-11-02 06:45:03.025307+02"
"010044fa-908b-43e2-bdc2-de6add020d81","99ed14b4-7e92-47ee-9d5e-90708cab168e","routine_visit","2025-09-16 00:00:00","The wet mill industry manager agreed to accomplish the mentioned activities before processing. We also discussed about water meter installment, purchase of PPE and other pre-season activities.","2025-09-15 14:59:03.580358","SR-29209961-4abf-4599-bc68-d74cd4cee51f-routine_visit","2025-09-15 16:59:03.580398+02"
"0124921d-5744-498c-a27e-1430b93378fa","5b4b50fc-50d0-443e-8263-a48ddfb35106","cpqi","2026-01-09 00:00:00","They have to do more in the storage labelling","2026-01-09 08:01:03.950731","SR-7f0d6638-cf71-455c-a4f2-03e9a67ed374-cpqi","2026-01-09 10:01:03.950769+02"
"0147f253-faab-4805-a55f-7937a4cff1de","60ac5c86-f558-4ac6-a968-77b27c7b8f44","cpqi","2025-11-18 00:00:00","I have seen some old pulped cherry in a tank and gave feedback on operational inefficiency to keep quality.","2025-11-17 17:14:03.836182","SR-d41292d4-6af1-4bab-a562-0e83eea57eab-cpqi","2025-11-17 19:14:03.836216+02"
"015bc5d5-419a-43b8-8e0a-404d4123644b","4cfea4a4-1ed2-4123-bf67-d33df964562e","employees",NULL,"","2026-02-21 08:43:04.686801","SR-d1c39813-7ee4-4a82-b000-439e5fcd482c-employees","2026-02-21 10:43:04.686849+02"
"016321ca-a796-4465-b9e0-14b750aaa89b","76c7a9b6-8725-4541-9af3-ad8b6de901dc","cpqi","2026-01-12 00:00:00","","2026-01-09 08:01:03.950731","SR-7c128fad-d68e-4d97-8fbe-2d32404451c6-cpqi","2026-01-09 10:01:03.950769+02"
"0164ab8f-dabb-4cd4-9abb-3e3ba56e636b","2e746bff-3d62-491e-9d13-238d1740b15c","routine_visit","2025-07-22 00:00:00","","2025-07-24 09:10:03.083228","SR-cb9fcf87-3352-4247-af97-ba546e51f4e3-routine_visit","2025-07-24 11:10:03.083258+02"
"016709b2-5de1-4232-ba61-9359dc996e17","8111a52a-980b-4d8f-8882-86e1a2dc0922","infrastructure","2025-11-24 00:00:00","The wet mill must costruct pulp hopper to separate the pulp from waste water","2025-11-25 09:09:04.000186","SR-d590bc92-4e4c-45b7-962f-2e793431d3d7-infrastructure","2025-11-25 11:09:04.000234+02"
"0189278b-e2b9-42a6-ad9b-a699b695b3b8","345d186f-ad0d-4f72-8e55-4779bc012ba1","routine_visit","2025-10-06 00:00:00","on finsl srage","2025-10-05 12:10:02.954521","SR-095b72fd-c5f9-4161-b223-6267d8d9501e-routine_visit","2025-10-05 14:10:02.954554+02"
"018cf4fa-6f05-4b7d-8778-2f1da516cfae","c65a8ade-b1a0-4596-be4e-ab8f2b3c031c","cherry_weekly_price",NULL,"","2025-11-11 11:27:03.432519","SR-682b7dfd-8366-41ca-93bf-b03260e838ac-cherry_weekly_price","2025-11-11 13:27:03.432553+02"
"01928cb7-f417-4989-8c7e-37f43ef2076c","ebed66a4-fe18-462e-98ac-0d900d925ced","gender_equitable_business_practices","2025-09-27 00:00:00","the wetmill management has to focus on equitable hiring practices of women at wet coffee processing level and adopting the equitable using of resources and services","2025-09-24 03:39:02.343767","SR-7ab81b97-534b-476c-942f-f5b140c51fd1-gender_equitable_business_practices","2025-09-24 05:39:02.343825+02"
"019f1ef4-de47-4443-9b2f-92ce9e10f414","9a3ce03b-5457-44c1-a3c1-cefc20933b5e","waste_water_management","2025-11-06 00:00:00","The wet mill needs pulp hopper construction","2025-11-02 04:45:03.02527","SR-ffec1595-4d4c-4183-933d-96b7069ae6a3-waste_water_management","2025-11-02 06:45:03.025307+02"
"01bc2f12-ef40-4046-b8dc-3a9fb5a38d4e","1c1944fe-2921-4fb1-b590-10758de6e890","infrastructure","2025-10-04 00:00:00","Need wetland and pulp hopper construction","2025-10-01 06:13:03.239363","SR-f422c128-72c5-4e72-85af-e3708dfb94ef-infrastructure","2025-10-01 08:13:03.239418+02"
"01c71a83-ba63-4168-9b9b-b06c7f96d8e2","c5a5eecf-55dc-4d4f-886b-ec78e16bf8bb","cpqi","2025-11-11 00:00:00","Cherry hopper and  washing channel should be appropriately cleaned at every batches of coffee  processing.","2025-11-09 16:49:18.529584","SR-2f017af8-d804-4dfc-8e27-fa867a23f5e4-cpqi","2025-11-09 18:49:18.529618+02"
