"id","wet_mill_unique_id","commcare_case_id","name","mill_status","exporting_status","programme","country","manager_name","manager_role","comments","wetmill_counter","ba_signature","manager_signature","tor_page_picture","registration_date","created_at","updated_at","user_id","is_deleted"
"00c48687-ac0b-424d-b874-f66cc6d11f65","ET_CREW_WETMIL_BA_0902","fd13331c-fb4d-4ace-bca9-c5f44351044c","Homa-1 Foge","Cooperative","Exporter","Ethiopia CREW GAC","Ethiopia","Bari Morkata","General manager","",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/964f7c69-079c-42a1-9d56-38c720603b9c/1750747310604.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/964f7c69-079c-42a1-9d56-38c720603b9c/1750747648277.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/964f7c69-079c-42a1-9d56-38c720603b9c/1750747423518.jpg","2025-06-24","2025-06-24 15:14:38.469852","2025-06-24 15:14:38.469865","8cb67f1b-64eb-49eb-a100-911a34b87fbe",False
"00c59add-6b98-45b9-86a8-c8ff396b91f4","ET_CREW_WETMIL_BA_0507","d338bf7d-7e73-4ee3-a889-78bf48fcec05","Asefa Dukamo Shanetawene","Private","Exporter","Ethiopia CREW GAC","Ethiopia","Zerihun Kose","General manager","",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/7ca1657e-6993-46a9-9172-223c0f5faa42/1750961418693.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/7ca1657e-6993-46a9-9172-223c0f5faa42/1751357310830.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/7ca1657e-6993-46a9-9172-223c0f5faa42/1750961426271.jpg","2025-07-01","2025-07-01 14:41:19.983478","2025-07-01 14:41:19.983486","8889b17b-7f6a-4644-99dd-1592b1b8fb7a",False
"0164af42-28b0-47a4-93cd-ff28abcc4169","KE_NN_SUS_BA0327","c5539367-89ae-4c2f-9f85-038657aaf6b1","Kianjiru","Cooperative","Non exporter","Kenya Nespresso","Kenya","James Muriithi","Factory/Wet Mill Manager","",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/813f8160-26ab-45a1-b651-57b2eab34ffb/1762508925746.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/813f8160-26ab-45a1-b651-57b2eab34ffb/1762508917852.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/813f8160-26ab-45a1-b651-57b2eab34ffb/1762508938535.jpg","2025-11-07","2025-11-02 04:45:03.015995","2025-11-02 04:45:03.016169","11e8b7c0-8901-4ddf-a763-b5ddf0713c79",False
"029c9e43-213a-4774-b3aa-f6cab02bd303","ET_NN_WETMIL_BA_0308","45857a19-887f-44ab-94d4-eec41d0a7ac2","Eng.Zelalem W.Amanuel","Private","Non exporter","Ethiopia Nespresso","Ethiopia","Tamirat Dukamo","Site/factory manager","",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/fab8834f-74f4-44cd-9bb4-a155b4ba1421/1760511405695.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/fab8834f-74f4-44cd-9bb4-a155b4ba1421/1760511489608.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/fab8834f-74f4-44cd-9bb4-a155b4ba1421/1760592264924.png","2025-10-16","2025-10-18 12:13:03.013534","2025-10-18 12:13:03.013694","dd973935-d62a-404a-a0c3-c96b0f3b1f56",False
"02bc3858-1285-4ac8-af2b-b99d58442a0b","KE_NN_SUS_BA0544","068e16a8-dd5d-4a3e-9a2d-9b44aa0c62df","Giitune","Cooperative","Non exporter","Kenya Nespresso","Kenya","John Gitonga","Factory/Wet Mill Manager","",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/2e63c623-d6f5-4985-858d-8b82d7b001db/1770190268578.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/2e63c623-d6f5-4985-858d-8b82d7b001db/1770190248406.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/2e63c623-d6f5-4985-858d-8b82d7b001db/1770190167745.jpg","2026-02-04","2026-01-31 22:58:04.059728","2026-01-31 22:58:04.059887",NULL,False
"02c5fa1e-9149-4d76-bf42-2d8fbb421acb","ET_REGROW_WETMIL_BA_0302","3ff8bd9e-6fbf-42d9-acce-2d871251b446","Biloya Cooperative","Cooperative","Exporter","Ethiopia Regrow USDA","Ethiopia","Mesfin","Site/factory manager","",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/71d94799-66d7-444d-8938-75d4b55e516d/1750144736509.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/71d94799-66d7-444d-8938-75d4b55e516d/1750144767832.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/71d94799-66d7-444d-8938-75d4b55e516d/1750144907699.jpg","2025-06-17","2025-07-18 13:13:13.28443","2025-07-24 09:10:03.074628","713c2825-6129-421c-8194-109b5afffea4",False
"02d7572a-55f8-43d0-a621-77f9ef9f7d3f","ET_NN_WETMIL_BA_0617","63ddee12-039b-4f77-9ff5-746f55717fe1","Sule Adem","Private","Non exporter","Ethiopia Nespresso","Ethiopia","Usen sule","Site/factory manager","",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/d4f13875-c366-4271-8eb5-2a47cd1a01c4/1754040274562.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/d4f13875-c366-4271-8eb5-2a47cd1a01c4/1754040256135.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/d4f13875-c366-4271-8eb5-2a47cd1a01c4/1754040358535.jpg","2025-08-01","2025-07-29 10:52:52.413461","2025-07-29 10:52:52.413613","bbea1b15-69ca-47d1-abe7-785e78b27049",False
"02f8aff1-afbb-4deb-935a-e120467106e7","ET_NN_WETMIL_BA_0216","5b6277e8-82ad-4ce6-97ca-693baef7f295","Hunkute 1","Cooperative","Non exporter","Ethiopia Nespresso","Ethiopia","Matiyos Yute","Chairman","",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/34df87e7-1f3d-4b75-9b3e-9dcd9a4bc1ba/1753356529650.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/34df87e7-1f3d-4b75-9b3e-9dcd9a4bc1ba/1753342686217.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/34df87e7-1f3d-4b75-9b3e-9dcd9a4bc1ba/1753356305336.jpg","2025-07-24","2025-07-25 05:58:01.822603","2025-07-25 05:58:01.822716","57453db4-a6dd-40e7-9c5c-ba860d5a28c9",False
"02fa0e71-459b-4f9b-829e-701f6f7ef4a5","KE_NN_SUS_BA0201","331fa078-3ece-4ef3-bf6a-280f1436be15","Ndaeoini","Cooperative","Non exporter","Kenya Nespresso","Kenya","Mwai","CEO/Secretary Manger","dummy data",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/d0273872-07cf-4510-907d-d7f2d509c453/1758875453636.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/d0273872-07cf-4510-907d-d7f2d509c453/1758875443020.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/d0273872-07cf-4510-907d-d7f2d509c453/1758875471537.jpg","2025-09-26","2025-09-24 03:39:02.334245","2025-09-24 03:39:02.334383","d22c9e7b-4ca8-4cf5-8805-cea02ec62b8b",False
"030f0506-4060-4389-86a8-4e69cca983bc","ET_REGROW_WETMIL_SBA_0202","060a4431-08a5-4e3a-afe9-050f8ee643bf","Tumticha","Cooperative","Exporter","Ethiopia Regrow USDA","Ethiopia","Aschalew","General manager","",NULL,"https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/6b70f028-a024-4c6f-8629-aea1ba0713e5/1750158039862.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/6b70f028-a024-4c6f-8629-aea1ba0713e5/1750158048990.jpg","https://www.commcarehq.org/a/tns-proof-of-concept/api/form/attachment/6b70f028-a024-4c6f-8629-aea1ba0713e5/1750158118441.jpg","2025-06-17","2025-06-17 11:04:00.721622","2025-06-17 11:04:00.721628","4c8ac8b1-da61-4d6f-abe0-c63a7272422c",False
